TICKER;EMPRESA;CNPJ
ITUB4;ITAU UNIBANCO HOLDING;60.872.504/0001-23
ITSA3;ITAUSA INVESTIMENTOS;61.532.644/0001-15
ITSA4;ITAUSA INVESTIMENTOS;61.532.644/0001-15
JALL3;JALLES MACHADO;02.635.522/0001-95
JBSS3;JBS;02.916.265/0001-60
JHSF3;JHSF PARTICIPACOES;08.294.224/0001-65
JSLG3;JSL;52.548.435/0001-79
CTKA3;KARSTEN;82.640.558/0001-04
CTKA4;KARSTEN;82.640.558/0001-04
KEPL3;KEPLER WEBER;91.983.056/0001-69
KLBN11;KLABIN;89.637.490/0001-45
KLBN3;KLABIN;89.637.490/0001-45
KLBN4;KLABIN;89.637.490/0001-45
KRSA3;KORA SAÚDE;13.270.520/0001-66
LAVV3;LAVVI;26.462.693/0001-28
LIGT3;LIGHT;03.378.521/0001-75
LINX3;LINX;06.948.969/0001-75
LVTC3;LIVETECH DA BAHIA;05.917.486/0001-40
RENT3;LOCALIZA RENT A CAR;16.670.085/0001-55
LWSA3;LOCAWEB;02.351.877/0001-52
LOGG3;LOG COMMERCIAL PROPERTIES;09.041.168/0001-10
LOGN3;LOG-IN LOGISTICA INTERMODAL;42.278.291/0001-24
LAME3;LOJAS AMERICANAS;33.014.556/0001-96
LAME4;LOJAS AMERICANAS;33.014.556/0001-96
AMAR3;LOJAS MARISA;61.189.288/0001-89
LREN3;LOJAS RENNER;92.754.738/0001-62
LPSB3;LPS BRASIL – CONSULTORIA DE IMOVEIS;08.078.847/0001-09
LUPA3;LUPATECH;89.463.822/0001-12
MDIA3;M.DIAS BRANCO IND COM DE ALIMENTOS;07.206.816/0001-15
MGLU3;MAGAZINE LUIZA;47.960.950/0001-21
MAGG3;MAGNESITA REFRATARIOS;08.684.547/0001-65
LEVE3;MAHLE-METAL LEVE;60.476.884/0001-87
ESTR3;MANUFATURA DE BRINQUEDOS ESTRELA;61.082.004/0001-50
ESTR4;MANUFATURA DE BRINQUEDOS ESTRELA;61.082.004/0001-50
POMO3;MARCOPOLO;88.611.835/0001-29
POMO4;MARCOPOLO;88.611.835/0001-29
MRFG3;MARFRIG GLOBAL FOODS;03.853.896/0001-40
CASH3;MÉLIUZ;14.110.585/0001-07
MELK3;MELNICK EVEN;12.181.987/0001-77
FRIO3;METALFRIO SOLUTIONS;04.821.041/0001-08
GOAU3;METALURGICA GERDAU;92.690.783/0001-09
GOAU4;METALURGICA GERDAU;92.690.783/0001-09
MILS3;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA;27.093.558/0001-15
BEEF3;MINERVA;67.620.377/0001-14
MTRE3;MITRE;07.882.930/0001-65
MTRE3;MITRE REALTY;07.882.930/0001-65
MMXM3;MMX MINERACAO E METALICOS;02.762.115/0001-49
MBLY3;MOBLY;31.553.627/0001-01
MODL11;MODAL MAIS;30.723.886/0001-62
MOSI3;MOSAICO VENTURES;09.083.175/0001-84
MDNE3;MOURA DUBEUX;12.049.631/0001-84
MOVI3;MOVIDA;21.314.559/0001-66
MRVE3;MRV ENGENHARIA;08.343.492/0001-20
MLAS3;MULTILASER;59.717.553/0001-02
MULT3;MULTIPLAN;07.816.890/0001-53
MPLU3;MULTIPLUS;11.094.546/0001-75
MNDL3;MUNDIAL – PRODUTOS DE CONSUMO;88.610.191/0001-54
NAFG3;NADIR FIGUEIREDO;61.067.161/0001-97
NAFG4;NADIR FIGUEIREDO;61.067.161/0001-97
NTCO3;NATURA COSMETICOS;71.673.990/0001-77
NEOE3;NEOENERGIA;01.083.200/0001-18
NGRD3;NEOGRID;10.139.870/0001-08
GNDI3;NOTRE DAME INTERMÉDICA;19.853.511/0001-84
MEAL3;NTERNATIONAL MEAL COMPANY ALIMENTACAO;17.314.329/0001-20
OPCT3;OCEAN PACT;09.114.805/0001-30
ODPV3;ODONTOPREV;58.119.199/0001-51
OIBR3;OI;76.535.764/0001-43
OIBR4;OI;76.535.764/0001-43
ONCO3;ONCOCLÍNICAS;12.104.241/0004-02
ORVR3;ORIZON;11.421.994/0001-36
OSXB3;OSX BRASIL;09.112.685/0001-32
OFSA3;OURO FINO SAUDE ANIMAL;20.258.278/0001-70
PGMN3;PAGUE MENOS;06.626.253/0001-51
PMAM3;PARANAPANEMA;60.398.369/0004-79
PDGR3;PDG REALTY;02.950.811/0001-89
RECV3;PETRO RECÔNCAVO;03.342.704/0001-30
PRIO3;PETRO RIO;10.629.105/0001-68
PETR3;PETROLEO BRASILEIRO PETROBRAS;33.000.167/0001-01
PETR4;PETROLEO BRASILEIRO PETROBRAS;33.000.167/0001-01
PETZ3;PETZ;18.328.118/0001-09
PLPL3;PLANO & PLANO;24.230.275/0001-80
PSSA3;PORTO SEGURO;02.149.205/0001-69
PTBL3;PORTOBELLO;83.475.913/0001-91
POSI3;POSITIVO TECNOLOGIA;81.243.735/0001-48
PRNR3;PRINER;18.593.815/0001-97
PFRM3;PROFARMA DISTRIB PROD FARMACEUTICOS;45.453.214/0001-51
QUAL3;QUALICORP;11.992.680/0001-93
LJQQ3;QUERO-QUERO;96.418.264/0218-02
RADL3;RAIA DROGASIL;61.585.865/0001-51
RAIZ4;RAÍZEN;33.453.598/0001-23
RAPT3;RANDON IMPLEMENTOS;89.086.144/0001-16
RAPT4;RANDON IMPLEMENTOS;89.086.144/0001-16
RCSL3;RECRUSUL;91.333.666/0001-17
RCSL4;RECRUSUL;91.333.666/0001-17
RDOR3;REDE D’OR;06.047.087/0001-39
REDE3;REDE ENERGIA;61.584.140/0001-49
